"","DP","Drop","OverHead","LatencyAvg","Settings","NrOfNodes"
"100","0.645","0.4639","0.58","4508.5531","0.2H10000.0S1A (10)",70
"101","0.675","0.4051","0.09","4933.1013","0.2H20000.0S0.8A (11)",70
"102","0.674","0.4078","0.11","4930.5144","0.2H20000.0S1A (12)",70
"103","0.531","0.9673","89.1","1572.0947","PRoPHET",70
"104","0.321","0.0373","51.94","2635.4041","Fist Contact",70
"105","0.322","0.9493","176.24","1832.1113","Epidemic",70
"106","0.322","0.7313","98.26","1650.0272","0.1H0.0S0.8A (1)",80
"107","0.32","0.7098","99.62","1657.5912","0.1H0.0S1A (2)",80
"108","0.653","0.4697","0.73","4810.1061","0.1H10000.0S0.8A (3)",80
"109","0.649","0.4507","0.89","4725.0641","0.1H10000.0S1A (4)",80
"110","0.693","0.3803","0.13","5225.558","0.1H20000.0S0.8A (5)",80
"111","0.69","0.3828","0.17","5206.9368","0.1H20000.0S1A (6)",80
"112","0.32","0.7008","95.74","1673.2204","0.2H0.0S0.8A (7)",80
"113","0.328","0.6874","92.71","1735.5516","0.2H0.0S1A (8)",80
"114","0.656","0.4546","0.76","4778.7291","0.2H10000.0S0.8A (9)",80
"115","0.647","0.4627","0.84","4728.6385","0.2H10000.0S1A (10)",80
"116","0.693","0.3743","0.12","5219.3487","0.2H20000.0S0.8A (11)",80
"117","0.691","0.3862","0.16","5207.8907","0.2H20000.0S1A (12)",80
"118","0.507","0.967","119.42","1573.834","PRoPHET",80
"119","0.329","0.0317","59.48","2606.0913","Fist Contact",80
"120","0.297","0.9516","242.01","1865.5078","Epidemic",80
"121","0.319","0.7285","124.15","1709.3941","0.1H0.0S0.8A (1)",90
"122","0.32","0.7042","124.39","1712.7997","0.1H0.0S1A (2)",90
"123","0.672","0.437","0.92","5006.3068","0.1H10000.0S0.8A (3)",90
"124","0.653","0.4506","1.23","4825.8478","0.1H10000.0S1A (4)",90
"125","0.698","0.3701","0.22","5457.3898","0.1H20000.0S0.8A (5)",90
"126","0.695","0.3769","0.29","5436.7203","0.1H20000.0S1A (6)",90
"127","0.323","0.6981","118.78","1643.1499","0.2H0.0S0.8A (7)",90
"128","0.33","0.6823","115.22","1663.4912","0.2H0.0S1A (8)",90
"129","0.653","0.4553","1.19","4862.7073","0.2H10000.0S0.8A (9)",90
"130","0.65","0.4551","1.25","4850.2337","0.2H10000.0S1A (10)",90
"131","0.695","0.3655","0.28","5412.2801","0.2H20000.0S0.8A (11)",90
"132","0.694","0.3749","0.3","5420.2084","0.2H20000.0S1A (12)",90
"133","0.491","0.9671","157.8","1515.9129","PRoPHET",90
"134","0.351","0.0268","63.57","2859.966","Fist Contact",90
"135","0.291","0.9521","308.84","1708.3607","Epidemic",90
"136","0.306","0.7237","156.86","1704.8329","0.1H0.0S0.8A (1)",100
"137","0.308","0.7006","158.42","1642.5667","0.1H0.0S1A (2)",100
"138","0.688","0.4305","0.97","5074.4258","0.1H10000.0S0.8A (3)",100
"139","0.672","0.4423","1.32","4973.5646","0.1H10000.0S1A (4)",100
"140","0.712","0.3427","0.18","5495.0953","0.1H20000.0S0.8A (5)",100
"141","0.71","0.3493","0.23","5476.8282","0.1H20000.0S1A (6)",100
"142","0.304","0.6958","156.35","1676.6883","0.2H0.0S0.8A (7)",100
"143","0.308","0.6799","153.94","1690.0205","0.2H0.0S1A (8)",100
"144","0.667","0.4521","1.23","4920.9332","0.2H10000.0S0.8A (9)",100
"145","0.663","0.4389","1.38","4880.0607","0.2H10000.0S1A (10)",100
"146","0.708","0.3522","0.23","5484.1645","0.2H20000.0S0.8A (11)",100
"147","0.71","0.3437","0.21","5497.4525","0.2H20000.0S1A (12)",100
"148","0.481","0.9655","193.78","1539.3156","PRoPHET",100
"149","0.345","0.0235","74.46","2958.469","Fist Contact",100
"150","0.274","0.9525","396.94","1802.1391","Epidemic",100
